Time (s),Error (m),RMS_Err (m),v (m/s),w (rad/s)
0.1,0.00013126589177961693,0.00013126589177961693,1.3126589177961694e-05,0.1262160136598635
0.1,0.0013565318199960745,0.000963693237759444,0.00013565318199960745,0.1618500868060504
0.2,0.0029954112897059263,0.001899991062040756,0.0005990822579411853,0.3278251577863651
0.2,0.004899641606785544,0.0029511178383134886,0.0009799283213571088,0.3322531773938618
0.3,0.007358211275859848,0.004218522470312072,0.0022074633827579545,0.4974420665109932
0.3,0.01022647346679982,0.005679794872026632,0.0030679420400399463,0.49691656888097846
0.4,0.013469794320714008,0.007319209342273243,0.005387917728285604,0.6504139242681848
0.4,0.01703097400553628,0.009117633008005641,0.006812389602214513,0.6340529658589357
0.5,0.021127030959079907,0.011112561913314905,0.010563515479539954,0.7897909504285394
0.5,0.025339730003439146,0.013241990813856151,0.012669865001719573,0.7633600691511727
0.6,0.030252075547272297,0.01557588836532688,0.018151245328363378,0.9113291658852577
0.6,0.0349709592979196,0.018008468554815,0.02098257557875176,0.8740537331109539
0.7,0.040695596037030414,0.020658004246978372,0.02848691722592129,1.0124344136547745
0.7,0.04572538333160802,0.023358390193291497,0.03200776833212561,0.9632914016654345
0.8,0.05225554053002043,0.02629225869591453,0.04180443242401635,1.0903998102445773
0.8,0.05736330081466703,0.029218777449556494,0.04589064065173362,1.0275239684576667
0.9,0.06468984905924921,0.03239877254542743,0.05822086415332429,1.1419543594607175
0.9,0.07242357513205011,0.035815687202803814,0.0651812176188451,1.1302122633976228
1.0,0.07763164468804085,0.039146428454104244,0.07763164468804085,1.1696140068524783
1.0,0.08175257573948362,0.04230833132704111,0.08175257573948362,1.0818693403764854
1.1,0.09062297570056344,0.04578023160314976,0.09968527327061978,1.166623146362492
1.1,0.09989971053505055,0.04953987094130506,0.10988968158855561,1.146529554994612
1.2,0.10387642579020169,0.05307201248768254,0.12465171094824203,1.1317827344881093
1.2,0.10630631398698777,0.056304128812426975,0.12756757678438532,1.0194408998153648
1.3,0.11665292259771992,0.05989711928379277,0.1516487993770359,1.0717001595809592
1.3,0.11678120237856665,0.06304133921221432,0.15181556309213665,0.958011265251953
1.4,0.12783175309344713,0.06657505616480024,0.17896445433082597,0.9936380001432766
1.4,0.12668664673017585,0.06962140866605582,0.17736130542224618,0.8673857886782912
1.5,0.13803590343435163,0.07305497360562167,0.20705385515152744,0.8879817596165641
1.5,0.1341284641771838,0.07588682160286557,0.20119269626577568,0.7556808394680101
1.6,0.14538135712511455,0.0790875443455918,0.23261017140018328,0.7627967269021707
1.6,0.13926397551352862,0.08164222342500829,0.2228223608216458,0.6313752952326467
1.7,0.15042242376208262,0.08455254601391941,0.2557181203955404,0.6258841155097846
1.7,0.14099075099845454,0.08673824417760921,0.23968427669737272,0.5099946182303152
1.8,0.1520569255582116,0.08927023031427193,0.2737024660047809,0.4932271212161364
1.8,0.1401986427045079,0.09107029490833755,0.25235755686811423,0.3751751334244827
1.9,0.15117801816255894,0.09320589578040936,0.287238234508862,0.34791030918211163
1.9,0.16213746325607917,0.09565839720143043,0.3080611801865504,0.3061651455743632
2.0,0.1485153105500318,0.09737278324567308,0.2970306211000636,0.19630002273981367
2.0,0.13055670944649272,0.09833894855865101,0.26111341889298545,0.08131320118309304
2.1,0.14137692836333307,0.09961014102774919,0.28275385672666614,0.035020947615381104
2.1,0.15216023858787434,0.10117901700232804,0.30432047717574867,-0.004935369007233126
2.2,0.13562047803863608,0.10211200420159233,0.27124095607727217,-0.09822282780450653
2.2,0.11770343084393119,0.10249269795733905,0.23540686168786237,-0.18157525555174758
2.3,0.1282502326333002,0.10313499891908298,0.2565004652666004,-0.21600381031055194
2.3,0.1140146472297755,0.1033836880450574,0.228029294459551,-0.27006661611951754
2.4,0.12436041022396922,0.10387411689009557,0.24872082044793845,-0.29598743809389405
2.4,0.11234967269227628,0.10405773241929932,0.22469934538455255,-0.3119244935985044
2.5,0.12246735328592127,0.10446587306053497,0.24493470657184255,-0.3301479496526621
2.5,0.1324565674519104,0.10509876834119732,0.2649131349038208,-0.34606656352084175
2.6,0.12105279699690559,0.1054347986423695,0.24210559399381118,-0.3299889632348439
2.6,0.13078714277192557,0.10597955279176871,0.26157428554385115,-0.3401759017899091
2.7,0.1151685666709775,0.1061602926929055,0.230337133341955,-0.30194644419004657
2.7,0.12463265577501188,0.10653148633425594,0.24926531155002377,-0.3074900527768649
2.8,0.10782892252580975,0.10655521708866664,0.2156578450516195,-0.2591423140780116
2.8,0.0925767011287064,0.10632171793636032,0.1851534022574128,-0.2180216659433447
2.9,0.10161269141681425,0.10624090223452619,0.2032253828336285,-0.21519160215728506
2.9,0.09120220308120884,0.10599969196282638,0.18240440616241768,-0.20100019550865644
3.0,0.08224489098661686,0.10564157778632115,0.16448978197323372,-0.16973349937740834
3.0,0.09083381750828791,0.10541182862760595,0.18166763501657582,-0.16277433167364297
3.1,0.09927265822544139,0.10531407185317913,0.19854531645088278,-0.15812694668731078
3.1,0.10755988401162013,0.10535067449274141,0.21511976802324026,-0.15521717352603948
3.2,0.0975277798009653,0.10523104391596752,0.1950555596019306,-0.116066416079869
3.2,0.08521290452960988,0.10494762928539364,0.17042580905921975,-0.08006650092108303
3.3,0.09303793207561022,0.10477465708938385,0.18607586415122043,-0.07700480078463066
3.3,0.08261502011192136,0.1044739790338536,0.16523004022384272,-0.054338196390518845
3.4,0.09012932642604582,0.10427438738788647,0.18025865285209164,-0.05276010790035324
3.4,0.09748782979347898,0.10417778807522889,0.19497565958695795,-0.0525058141432304
3.5,0.08861915632721627,0.10396892922079327,0.17723831265443254,-0.03759797140962717
3.5,0.09566580963201973,0.10385498721923442,0.19133161926403947,-0.03877651367166424
3.6,0.08392743659115086,0.10360093401437928,0.16785487318230172,-0.03864520121472059
3.6,0.07147450728590214,0.1032232280145827,0.14294901457180428,-0.039245556570026374
3.7,0.07805608144525963,0.1029200552614615,0.15611216289051927,-0.04245854305266228
3.7,0.06905009744095753,0.1025369527017846,0.13810019488191505,-0.04482460395586707
3.8,0.0753255891193459,0.10222179271299635,0.1506511782386918,-0.04912465428233759
3.8,0.06751892684784816,0.10184197791522635,0.13503785369569632,-0.052728025060830866
3.9,0.07349318912218508,0.10152455862060991,0.14698637824437016,-0.05799309302514488
3.9,0.07931886654303966,0.10127068670147679,0.1586377330860793,-0.0635786732972665
4.0,0.07142006364656436,0.10094800518529866,0.14284012729312873,-0.06826177589350446
4.0,0.07695444538369972,0.1006833816342541,0.15390889076739944,-0.07446432553748371
4.1,0.06797233327972776,0.10034457332612688,0.13594466655945553,-0.09647898676234745
4.1,0.05786235820792025,0.09993533016061916,0.1157247164158405,-0.10721713427217394
4.2,0.06297672318942253,0.09957172296845485,0.12595344637884506,-0.11310431820498679
4.2,0.0564332272170923,0.09916859948324858,0.1128664544341846,-0.12321922273945762
4.3,0.0612791237322699,0.09880733869962996,0.1225582474645398,-0.12881861935082228
4.3,0.06599418167005089,0.09848863099251656,0.13198836334010178,-0.1347704797328797
4.4,0.05935630436807943,0.09812753068758434,0.11871260873615885,-0.133634762345187
4.4,0.0638189414638319,0.09780528694280609,0.1276378829276638,-0.1394112593721829
4.5,0.05650343604903975,0.09743851785706938,0.1130068720980795,-0.16885788378436073
4.5,0.04795193066509904,0.09702742747908084,0.09590386133019808,-0.166899362095568
4.6,0.05205846919633642,0.09664703173920003,0.10411693839267284,-0.170705401165117
4.6,0.04586866336193353,0.09623922695115941,0.09173732672386706,-0.17217270917810235
4.7,0.049752191253359807,0.0958593419882415,0.09950438250671961,-0.1752052714910347
4.7,0.04432049322088296,0.09545760764775493,0.08864098644176592,-0.16480386008523895
4.8,0.04799297263655645,0.09508145439064168,0.0959859452731129,-0.16770056201738745
4.8,0.051564184219515925,0.09473123974087788,0.10312836843903185,-0.1714589265994627
4.9,0.046109546863228476,0.0943578862391199,0.09221909372645695,-0.16151538400104093
4.9,0.03989235751596898,0.09396168550743997,0.07978471503193796,-0.14883408494979358
5.0,0.043178939781930034,0.09358659677484249,0.08635787956386007,-0.15121668617007963
5.0,0.04637618587617123,0.09323290240629754,0.09275237175234247,-0.15456197183920528
5.1,0.042098190691930125,0.09286473004768414,0.08419638138386025,-0.17864555982832864
5.1,0.03719483744523864,0.0924817482100314,0.07438967489047728,-0.16255490181382692
5.2,0.04014200495341023,0.09211666849280702,0.08028400990682046,-0.16526898442497184
5.2,0.03585279552354483,0.09174011821710872,0.07170559104708966,-0.1540679148816585
5.3,0.03864679922123564,0.09138008021450122,0.07729359844247129,-0.156933787523567
5.3,0.03413977899629498,0.09100845004364938,0.06827955799258996,-0.14887465665527777
5.4,0.03679100707295559,0.09065197927187833,0.07358201414591117,-0.15195920272189178
5.4,0.03937436629557713,0.09031082872263414,0.07874873259115427,-0.155876384917511
5.5,0.034987387274905656,0.08995804638890287,0.06997477454981131,-0.1484303026564897
5.5,0.03744256405715376,0.08961934691718716,0.07488512811430752,-0.1525702335406928
5.6,0.03234696655345931,0.08926755682414952,0.06469393310691862,-0.14065805480375848
5.6,0.034683071627462335,0.08892855525784209,0.06936614325492467,-0.14487548195639366
5.7,0.029384364585744387,0.08857733435236978,0.05876872917148877,-0.12924790971902078
