Time (s),Error (m),RMS_Err (m),v (m/s),w (rad/s)
0.1,0.09991325584911938,0.09991325584911938,0.0036996673868124673,0.2
0.1,0.10077537949822084,0.10034524355290093,0.007410566097462703,0.4
0.2,0.10202602228004291,0.10090861382074018,0.011168018777074682,0.6000000000000001
0.2,0.10364988807041943,0.10160086653995662,0.014948926797951078,0.8
0.3,0.10562059614968433,0.10241743470493198,0.01895805221673182,1.0
0.3,0.10788876299553739,0.1033494394746953,0.023452739500805883,1.2
0.4,0.11029291473932579,0.10436964999468984,0.028801833966851903,1.4
0.4,0.11340299964808738,0.10554111000534491,0.0342254979797592,1.5999999999999999
0.5,0.11690503397258267,0.10686346126270624,0.039865913121103,1.7999999999999998
0.5,0.11987952627577926,0.10823552789981601,0.04660464376496383,1.9999999999999998
0.6,0.1241328573079279,0.10977591276652009,0.053681691888324806,2.1999999999999997
0.6,0.1269335775242225,0.11130678115163166,0.0620317018849252,2.4
0.7,0.13193389990305177,0.11302720853768426,0.07087396847771377,2.6
0.7,0.13389040981998174,0.11464341927080987,0.08104099868555573,2.4
0.8,0.13963199653674618,0.11647623065280335,0.0918769988878905,2.2230823402634536
0.8,0.14004380681581316,0.11808708450592208,0.1036293150634566,2.0230823402634535
0.9,0.14652787781902124,0.11994689300634544,0.11621058771945911,1.8230823402634535
0.9,0.14538331672504978,0.121499812572755,0.12969033316473352,1.6230823402634535
1.0,0.15263025755306672,0.1233343072847083,0.14418810163108153,1.4230823402634536
1.0,0.148861027203023,0.12473477484938138,0.15743757442636497,1.2230823402634536
1.1,0.1565113442293562,0.1264291787461599,0.17166792723748872,1.0230823402634537
1.1,0.15272228559946532,0.12774178118477952,0.18576159857536864,0.8230823402634537
1.2,0.1615619811922984,0.1293961649005811,0.20095451712013468,0.6230823402634538
1.2,0.15528348404119977,0.1305773099081658,0.2156386444572246,0.42308234026345376
1.3,0.16496864624597463,0.13212495100513083,0.23148890065728994,0.22308234026345375
1.3,0.1564133091416139,0.13314107472170778,0.24436347950657525,0.023082340263453738
1.4,0.16695604279268017,0.134545119852361,0.2582824404049661,-0.17691765973654627
1.4,0.15435829444479393,0.1353027021056111,0.27061687141314417,-0.3769176597365463
1.5,0.16577299444722485,0.13646670418801446,0.2839884565389059,-0.5769176597365463
1.5,0.17719797902040754,0.13801821171801315,0.2903585346350282,-0.3769176597365463
1.6,0.13518164509753636,0.13792762011946763,0.29354198234389334,-0.292945243539873
1.6,0.1467169179379259,0.13821074647929307,0.2971919139230788,-0.3062642307368816
1.7,0.15822689977564547,0.13885969439081433,0.3016221130822215,-0.3394792605240377
1.7,0.16970540855394828,0.13986405286612555,0.30654225793598106,-0.3536351482307699
1.8,0.15287941704692148,0.14025268297075316,0.3103648496383757,-0.3478591429431616
1.8,0.16432368087729102,0.14097683023918547,0.3147041851942274,-0.3615239245922825
1.9,0.146662158339415,0.14113349905972655,0.31804008518804205,-0.3491182717970992
1.9,0.12878901030391704,0.1408225084597639,0.32007860306004143,-0.3203863138894424
2.0,0.14010471068785801,0.14080414909889943,0.32286392897631927,-0.3490730899630004
2.0,0.12160346546705093,0.14035614793701906,0.3237386025295388,-0.31333522374796824
2.1,0.13276529905573592,0.1401758960510316,0.32532186416814807,-0.33973195764100295
2.1,0.11394297925870722,0.13960859893905125,0.32569373436509036,-0.3168642811031381
2.2,0.12490492457828664,0.1392842833158102,0.3267719735800568,-0.3419641889373391
2.2,0.10615253654619441,0.1386192593617121,0.32633693640202055,-0.32080135726338527
2.3,0.11686720982757977,0.1381730882011099,0.326591617101352,-0.34475028005892283
2.3,0.12755270975969882,0.13795090473594837,0.3274812703458362,-0.3550377269799223
2.4,0.10778667590777576,0.1373780902431909,0.3264782019774693,-0.3388573089477954
2.4,0.11819430713441549,0.13700582858234694,0.32612790954788373,-0.34841822402539363
2.5,0.09848752049558403,0.13632856849740788,0.3240518794919946,-0.33440125414308985
2.5,0.10856216649756253,0.13582887725617948,0.3226447888374541,-0.3432899334707047
2.6,0.08915378547263643,0.13506879817757178,0.31955024226092515,-0.33022063054894174
2.6,0.07102095670488702,0.13412584278816808,0.3148993233259086,-0.30910659620174613
2.7,0.08000548273605024,0.13330822886863675,0.3108424999385054,-0.32709576262744483
2.7,0.06367328211002515,0.13235206505487013,0.30590846483790496,-0.3163819078269818
2.8,0.07199148948195669,0.13150212630630825,0.3015748617076996,-0.3336413162503296
2.8,0.0803623584819734,0.13076441575338826,0.2907929619387572,-0.3084674574821481
2.9,0.06415058477413545,0.1298905013515306,0.2856599302487383,-0.32845697023296755
2.9,0.051195023232365605,0.12894123520244197,0.2793199415433297,-0.32051573212567225
3.0,0.05752936935691196,0.12806304539796207,0.2735370497111099,-0.33571371820238993
3.0,0.04630825625848074,0.1271320131986911,0.2672657742047715,-0.3257370371965778
3.1,0.03991815962594693,0.1261891883254931,0.25278555559249655,-0.3287128514836729
3.1,0.0420877980863128,0.1252814746373275,0.24547224683219784,-0.3144460061298455
3.2,0.045873513754489954,0.12441750937596084,0.2386844287803425,-0.32673107745493235
3.2,0.039273000133971225,0.12353924710495048,0.23244382344554423,-0.3335707233805452
3.3,0.0417850286800856,0.12269477485196335,0.2201509542898911,-0.3667291673180977
3.3,0.03703516341307804,0.12184702958089294,0.21318800431495227,-0.3199562332605683
3.4,0.03839245431713344,0.12102522799269624,0.2067549604850012,-0.32982049125155727
3.4,0.0352413803783532,0.12020803316890015,0.20047222207936014,-0.3229463942053973
3.5,0.03547323924120903,0.11941016846154905,0.18839727032105247,-0.3813233019652998
3.5,0.033812252899049204,0.11862303217426565,0.1823117593702773,-0.3244837041647377
3.6,0.03307530859833146,0.1178500861618988,0.17676808376644335,-0.33171027318342206
3.6,0.03251692646972839,0.11709154715560366,0.16511180118399277,-0.4040746761113717
3.7,0.031117082004970268,0.11634380220222816,0.1596862264388168,-0.32314222697142037
3.7,0.031050817734176197,0.11561138398867911,0.15530801570267874,-0.32587238452852374
3.8,0.02916938815217682,0.11488743877846874,0.15149884461265697,-0.3295970414475003
3.8,0.029370951814325776,0.11417881416947495,0.1412578988154232,-0.4181601644386322
3.9,0.027169786925765015,0.1134772200558104,0.1369615149251145,-0.29003888552006496
3.9,0.02740905360628115,0.11279016002796186,0.134422847752866,-0.2942713168008657
4.0,0.025067126753543858,0.1121095043552763,0.1268285783951631,-0.45872428592829934
4.0,0.025516645850829384,0.11144313772006938,0.12256883692782698,-0.2587242859282993
4.1,0.022883875117118653,0.11078226377476129,0.11883184388224254,-0.21810092724243546
4.1,0.02162627694557256,0.11013058785061744,0.11023313698109048,-0.37241888553403085
4.2,0.020668482397828893,0.10948864656721921,0.1069158331661143,-0.1848456416747607
4.2,0.01923514449276088,0.10885521074512657,0.10416688819752379,-0.17816954847744323
4.3,0.018459433508898844,0.10823151279821726,0.0971852228363838,-0.3781695484774432
4.3,0.01891142647254243,0.10761974255162074,0.09429825566219105,-0.1781695484774432
4.4,0.016194880696154566,0.10701353695829369,0.08678533776093829,-0.32725808201621615
4.4,0.01689887667793713,0.10641901632148033,0.08424845657691109,-0.12725808201621613
4.5,0.014004204960199162,0.10582987921695705,0.08219886804298308,-0.039863338330174844
4.5,0.014919599789711815,0.1052520430669809,0.07562001135612573,-0.23986333833017487
4.6,0.012021233943501842,0.10467972301447043,0.07402624748000369,-0.03986333833017486
4.6,0.012342644052538565,0.10411720935975266,0.07341825581634656,0.04877449971435609
4.7,0.009711762956109631,0.10356082315192361,0.0684809900927111,-0.1512255002856439
4.7,0.010187870090000734,0.10301385432769353,0.06715125298236202,0.0487744997143561
4.8,0.007602693259203106,0.10247321057817148,0.06628513903939301,0.10375674125582802
4.8,0.006494389444129032,0.10194025370708816,0.06589121901282272,0.11420631323110707
4.9,0.00578199801973695,0.10141512640506109,0.06103953278950264,-0.08579368676889294
4.9,0.0050011529129813884,0.10089764030708159,0.06085172067916857,0.11420631323110707
5.0,0.004269704751881948,0.10038768007098028,0.060254849289373115,0.12600056643356372
5.0,0.005648788914793072,0.0998860777841196,0.05519013588073186,-0.07399943356643629
5.1,0.0030739103044483533,0.09939083281602067,0.054667520015689024,0.12134295037297269
5.1,0.004477126768219991,0.09890341630026987,0.05439437431255786,0.14131812344419648
5.2,0.0019627902243595954,0.09842232162776121,0.05006540192617979,-0.058681876555803536
5.2,0.003791972543987913,0.09794870020633138,0.04937003885753897,0.13272562068773722
5.3,0.001080586191746391,0.09748121901488487,0.049076110022911144,0.1366063796041023
5.3,0.002957216132633075,0.0970207374979841,0.04902216453013552,0.11224757767858651
5.4,0.005224689227439802,0.09656762624215244,0.04422745694440692,-0.06980394592584066
5.4,0.002636413507508413,0.09611984897082892,0.0436994786032985,0.08193802906165798
5.5,0.0004288736698540161,0.09567792510826688,0.043549517317624645,0.07561152128133013
5.5,0.0020510945304561758,0.09524223330149925,0.043742775804274756,0.04567650380843881
5.6,0.000977212748143454,0.09481228896538832,0.04432576146749625,0.03200700452211291
5.6,0.0017287449239510664,0.09438821212967356,0.040298967893091266,-0.058683343709424164
5.7,0.0013029609777983518,0.09396971700487732,0.04035513419849278,0.002550181248990792
5.7,0.00329431799606813,0.09355717007274916,0.04076081645628083,-0.018673695497115516
5.8,0.0020406732616670255,0.09314970599303835,0.04136193808914655,-0.02917044489672894
5.8,0.0012402507096014937,0.09274740105939641,0.04150519413684423,-0.04406215364277069
5.9,0.0022562597095291434,0.09235042966260328,0.0379427158023444,-0.05069519368832449
5.9,0.0012859855826608299,0.09195835789548426,0.03740298645756303,-0.04994962299439992
6.0,0.0021741844659991256,0.09157137998839483,0.03718625199696221,-0.07404556124344973
6.0,0.001249620928400438,0.0911891057033389,0.037196743951735826,-0.09562284001165783
6.1,0.002286828992576283,0.09081174740441367,0.037538703284800246,-0.12625907573101475
6.1,0.0012006244858887908,0.09043886763104092,0.03752751968706397,-0.13160116156923543
6.2,0.002251844817472989,0.09007070852779805,0.0339459822214331,-0.07257692425729545
6.2,0.001120047504248562,0.0897068413740565,0.03337669781770153,-0.1138531953733783
6.3,0.002001527552492436,0.08934747281874289,0.033103639208352034,-0.1442351465936628
6.3,0.0010246256912789355,0.0889922598847969,0.03302798327352884,-0.16223118936111178
6.4,0.0019861343164201124,0.08864137944213286,0.033256300394794006,-0.19883129713315573
6.4,0.0035576237529060264,0.08829500506386147,0.033782767911585895,-0.23766880654315728
6.5,0.0020051949006134385,0.08795228773803533,0.03401404546221537,-0.23648823586057444
6.5,0.0007654522940335551,0.08761338238072736,0.033750647126878704,-0.2011069659000372
6.6,0.0017966443634919455,0.08727848069971725,0.03007461468109103,-0.11197223934857539
6.6,0.0006994673527439423,0.0869472731885689,0.02919235521557152,-0.15133911782022025
6.7,0.0013994082552164363,0.08661987199780795,0.028577319483012863,-0.18335094070569244
6.7,0.0027944471493163846,0.08629639590755053,0.02823755128734548,-0.2171343123690224
6.8,0.001845942771430177,0.08597633233127022,0.030396579147618577,-0.3968344900429541
6.8,0.0007804500068868984,0.08565968582366877,0.03050413430071181,-0.2542518923606792
6.9,0.002168091113721772,0.08534668766528912,0.03089476897851735,-0.2969965028351071
6.9,0.0007504440118304771,0.08503692229802484,0.03056617002479638,-0.2465753311959287
7.0,0.002164747440837913,0.08473068088511561,0.030515276011131923,-0.28636748934604533
7.0,0.0005429679271127506,0.08442754146886022,0.03007231163621163,-0.2292471996705202
7.1,0.0019450727338792234,0.08412777977427496,0.02990675229960666,-0.2680043907811436
7.1,0.0003468942658787765,0.08383103688541192,0.029448710349541368,-0.2209799644412201
7.2,0.0017338395698612997,0.08353753295852336,0.029269172160500293,-0.25994432774877946
7.2,0.00017993118862415496,0.08324696809648828,0.028828215752700052,-0.21786960650675166
7.3,0.0014034633603395923,0.08295949481584446,0.025203078936497876,-0.1709160026708505
7.3,0.00026606001017278653,0.082674901729873,0.02422714911131372,-0.16559324521876437
7.4,0.0009617447865768942,0.08239325288799963,0.023497903944565034,-0.19776252138795958
7.4,0.0004341698436153061,0.08211443326890762,0.02327937518795173,-0.20000104442096533
7.5,0.0007775005032377791,0.0818384423734174,0.023319232449389497,-0.23913532908867197
7.5,0.0003624899362075188,0.08156519675551663,0.023252270742461646,-0.20752104764615992
7.6,0.000835692855185211,0.08129469312394069,0.02344717303796502,-0.2488449924770733
7.6,0.0002984283519030346,0.08102683870284774,0.02336047513825745,-0.20139430317669482
7.7,0.0014463144577270845,0.08076169566781191,0.022960517504967387,-0.1553457498912383
7.7,0.0002665807149071016,0.08049905817783076,0.022823070470312394,-0.19421533260305507
7.8,0.0009079136495011933,0.08023899674962709,0.022949823525768968,-0.2359494478896012
7.8,0.00021375734147583038,0.07998140884129287,0.02289236853593548,-0.19584910594574895
7.9,0.0009502182658890369,0.07972632014761209,0.023101874312384925,-0.23924567617888373
7.9,0.00018016684615724534,0.0794736224838703,0.023003356059794557,-0.19395631323218565
8.0,0.0009741118511657707,0.07922334890507397,0.023173098675452003,-0.23803366485601435
8.0,0.00017795176951321287,0.07897538914642613,0.023019577776060687,-0.1929297144086142
8.1,0.0009677403405123617,0.07872977887102965,0.02313296799065034,-0.23756563234784073
8.1,0.00019775590806444285,0.07848641111295529,0.02292930461601408,-0.19545054754574737
8.2,0.0009392791134776763,0.07824531944317956,0.022991358693062864,-0.24046415065532806
8.2,0.0004598805486788365,0.0780064101453289,0.02294888291250204,-0.2371201363186906
8.3,0.0015852693444871593,0.07776976576099259,0.02317076454955286,-0.2843678370332136
8.3,0.002706980506049093,0.07753545029549594,0.02365592030249372,-0.3344656403853737
8.4,0.0015331310120658135,0.07730305070282475,0.023839654503017355,-0.27524372483081166
8.4,0.00028287512039366935,0.07707264180274213,0.023565353476162162,-0.17917506404095407
8.5,0.001393223464679336,0.07684435265078818,0.023554641874203763,-0.22273319679076364
8.5,0.0025000826755180133,0.07661824643352584,0.023806629867050802,-0.26910524092100885
8.6,0.001284572280602222,0.07639395114136593,0.023760737038290763,-0.2110300861900825
8.6,6.160138630406783e-05,0.07617155212100371,0.0233471029358947,-0.1494738887860341
8.7,0.0011084880057633131,0.07595113082680463,0.02319657216487841,-0.19218853295374025
8.7,0.002201777297630372,0.07573274991185623,0.023308428247891432,-0.2377319944500314
8.8,0.0015181852019408835,0.07551614783188158,0.02332083625662579,-0.2343810653269351
8.8,0.0002918174574802746,0.07530131092841212,0.023039964321976383,-0.18828243993854174
8.9,0.0013647942019228952,0.07508836413765385,0.023021584395862386,-0.2348811017106668
8.9,0.002447315972944796,0.07487736938027731,0.023265103780511786,-0.28438672367969114
9.0,0.0012240310512176154,0.07466797783189502,0.02324976889784184,-0.241170697260122
9.0,0.00013051864481145045,0.0744602785439771,0.022872375553272005,-0.1944932804445364
9.1,0.0010393417023156887,0.07425434246220806,0.02275803461068306,-0.24201636991240927
9.1,0.00021762121524684225,0.07405006778690257,0.02241684940293268,-0.23090609261119593
9.2,0.0008974833008003916,0.07384749784392071,0.02233886583752734,-0.2812729421867265
9.2,0.0002979776476953212,0.07364655517525698,0.022058892134449542,-0.2645822570186957
9.3,0.0007934735959013095,0.07344726389067402,0.022042558177485017,-0.31749422748866835
9.3,0.0018632269597295456,0.07324968632266392,0.022289547077253603,-0.3734500307914612
9.4,0.0007237881738677205,0.07305358817988775,0.02232890645393937,-0.3393737395022285
9.4,0.0004421581110334661,0.07285904480270215,0.022039283358178646,-0.26407926087742406
9.5,0.000629602921625968,0.07266605480292586,0.022015711565553178,-0.3161874244062103
9.5,0.0017008288954724377,0.07247468110408797,0.022258060644393948,-0.3713625135353979
9.6,0.0005487467995565049,0.07228471873077287,0.022269509695518778,-0.33939197301214497
9.6,0.0006200254026154998,0.07209624541523638,0.021956553150555704,-0.2641768957264006
9.7,0.00045752283018628905,0.0719092325497716,0.021912664106383328,-0.3153948529567435
9.7,0.0015280692950708154,0.07172374393311519,0.02213789409115735,-0.36967946038110827
9.8,0.0003951207742763779,0.07153960610825894,0.022148410381689087,-0.33792067914397517
9.8,0.0014631957405449216,0.07135695027702164,0.02242959295857633,-0.3936127684537092
9.9,0.00033117866441245654,0.0711756147582895,0.022402616030291717,-0.3130475922202557
9.9,0.0008554766226098074,0.07099567687349453,0.022042067720195464,-0.22556037458059638
10.0,0.00025999108389665254,0.07081707351239182,0.021956738981234045,-0.2727652441587187
10.0,0.001316119461030106,0.07063987027314948,0.02214697664698387,-0.32298670037103777
10.1,0.0002898449148033926,0.07046393306467534,0.022165234244859555,-0.30035164112968094
10.1,0.0008900333642305846,0.07028932888781704,0.021892151548994907,-0.24263733767588688
10.2,0.0002459504843121292,0.07011599085029838,0.02189847731496979,-0.29086920953776296
10.2,0.0009097877649156628,0.0699439558145102,0.021694477362318138,-0.2600574551254532
10.3,0.00024109577363140385,0.0697731542805765,0.02177209823470873,-0.309491091862978
10.3,0.0009008403245283069,0.0696036242380521,0.02163627428311535,-0.2707149747273733
10.4,0.00026441067265262346,0.06943529843280913,0.021784526739183303,-0.32071328276611555
10.4,0.0013167253896300892,0.06926824572656963,0.022217492523569166,-0.37377221328507815
10.5,0.00030416567732401807,0.06910233672547024,0.022416100118008944,-0.32530201075289744
10.5,0.0009007681282266875,0.06893763903964074,0.022239210085053723,-0.231707583560416
10.6,0.00029472402438667975,0.06877408868459978,0.022352349103934303,-0.277474568708578
10.6,0.0009230846255845889,0.06861172320559168,0.022197377974036835,-0.24161762848971785
10.7,0.00028282318477191676,0.06845047608252865,0.02233519244675295,-0.2877794034799748
10.7,0.0009100020813684938,0.06829038612281155,0.02223288608999597,-0.24931808935140615
10.8,0.00030262181176148907,0.06813138929818695,0.022426296045960754,-0.2957655951183426
10.8,0.0008849624122577021,0.06797352145880206,0.022363116831319935,-0.25256890042973695
10.9,0.00033519374817097343,0.06781672340307585,0.02259874925545533,-0.2988149090078316
10.9,0.0008548067982301521,0.06766102644340284,0.022546705613597576,-0.2514936787753708
11.0,0.000373757517757264,0.06750637719100239,0.022796708977461198,-0.29702301377784895
11.0,0.001467846676594137,0.06735285156723195,0.023349834710712242,-0.3453810282843381
11.1,0.0004130956732464456,0.06720030252639773,0.023623122746010077,-0.29443324705288865
11.1,0.0007818359895823624,0.06704880020047711,0.02348271100705742,-0.2072469121750632
11.2,0.0004656531375250499,0.06689830492066726,0.023651557888176647,-0.24777894207530426
11.2,0.0007897819080031144,0.06674883217397769,0.023534279423358933,-0.19359982155678798
11.3,0.0004497646682942446,0.0666003430062699,0.023729855982542233,-0.23314816032940192
11.3,0.0007965970790116836,0.06645285488621101,0.02363859889636126,-0.20328827018741974
11.4,0.00044460194936819667,0.06630632796700292,0.023863632149757584,-0.24327749292245623
11.4,0.0007935434960228409,0.06616078043573892,0.02380371010030601,-0.20943720337079455
11.5,0.0004541709599206033,0.06601617335726734,0.02406365850565169,-0.24951888657067525
11.5,0.0007840172253567663,0.06587252388969797,0.024019374354238496,-0.21196991066919055
11.6,0.0004731872211852167,0.06572979539886731,0.0242986644250096,-0.25172664875558687
11.6,0.0007742178095239204,0.06558800307362429,0.024262563675535722,-0.21237372929942233
11.7,0.0004952132510233687,0.06544711298606996,0.024553845385432812,-0.2515616555135751
11.7,0.0016895842747312996,0.06530721240251737,0.025173991212818315,-0.2931908817615982
11.8,0.000518897444235243,0.06516812154148771,0.025480121938532253,-0.24980343109134792
11.8,0.0008064700084875742,0.06502992810767558,0.025318307565709266,-0.17320437960985827
11.9,0.000488403344531762,0.06489259689608579,0.02549208989143916,-0.20795852272977247
11.9,0.0017076457762264265,0.06475621901021143,0.026003065160426053,-0.24497896394199362
12.0,0.00045790154503463746,0.0646206105310665,0.026198681954043995,-0.22142426934561768
12.0,0.0016847550559479225,0.06448593543014046,0.026735413473748512,-0.25875073272120513
12.1,0.0004116364922131242,0.06435201357202838,0.02684334774015899,-0.17179192447592395
12.1,0.0010296662270417938,0.0642189513379587,0.02648513512655913,-0.09940192863812788
12.2,0.00043845916225782944,0.06408668352576717,0.030218384811516234,-0.1289373011385328
12.2,0.00047336226733243257,0.06395523070314829,0.031127550835430454,-0.18053481093650478
12.3,0.0013920473303314343,0.06382463832885506,0.030563907414859436,-0.15183743327768745
12.3,0.00014030040040850778,0.06369478197947127,0.030401520722455423,-0.18508948388301238
12.4,0.0015445131148640267,0.06356579037457301,0.03064261597632317,-0.22049859237776417
12.4,0.00012227671523849573,0.06343750456284115,0.03066702568413874,-0.1979316942466121
12.5,0.0014568110791612719,0.06331005917581083,0.031100252898690686,-0.2343782319725508
12.5,0.00013129395317568917,0.06318331272911938,0.03505285445126134,-0.24249342923114472
12.6,0.0017178935317976735,0.06305741717368371,0.036273871879699014,-0.28297887517089915
12.6,0.00018925629184987752,0.06293218001214934,0.03635145423572419,-0.20233318521010193
12.7,0.0018067774894250533,0.06280778769207315,0.03689940805782525,-0.23980868354892135
12.7,0.0035076349775057148,0.0626844147573133,0.03792059833757432,-0.27953468742069504
12.8,0.001987870573456467,0.06256150725360725,0.03831021872540917,-0.2264545923420376
12.8,0.0002666569874369642,0.062439199473741575,0.04298765826863374,-0.18777972224852946
12.9,0.0021460322448205575,0.062317747813055865,0.04486476553965507,-0.24740166706038186
12.9,0.004069787521693673,0.062197375818320105,0.047282586460483764,-0.2932490670931801
13.0,0.0019944072864932555,0.062077311238979874,0.04728198832858177,-0.18322098876341153
13.0,0.003949224617288759,0.06195830087108595,0.0478307454855439,-0.21782003233919572
13.1,0.001712507720824646,0.061839583748872204,0.04728432137131534,-0.1117165508849628
13.1,0.0038744355602630216,0.061721920590140415,0.05160609308947845,-0.16862969872924544
13.2,0.0013265301361228784,0.061604521085883164,0.0515076651919127,-0.11738830858969765
