Time (s),Error (m),RMS_Err (m),v (m/s),w (rad/s)
0.1,0.09962074357996692,0.09962074357996692,0.006030521726652764,0.2
0.1,0.10050075565874618,0.10006171705353782,0.011057280401975582,0.4
0.2,0.10173221868986249,0.10062163246367806,0.016642493319425685,0.6000000000000001
0.2,0.10332950929700145,0.10130538762884929,0.02809117742209656,0.8
0.3,0.10532177971297946,0.10212130388164363,0.035080880333366135,1.0
0.3,0.10754549113336451,0.10304516501317242,0.057199501922659254,1.2
0.4,0.11027637221745769,0.10410895011957073,0.06621183255193971,1.4
0.4,0.11268397074962015,0.10521905229620734,0.09696282295222364,1.5999999999999999
0.5,0.11612198946796905,0.106485631877365,0.1087675103892007,1.7999999999999998
0.5,0.11802665309777231,0.10769540334125553,0.1485164631542097,1.9999999999999998
0.6,0.12211217825088319,0.10908478065895376,0.16395740310894344,2.1999999999999997
0.6,0.12245199661070537,0.11026062857289572,0.20902861034491305,2.4
0.7,0.1270743669111849,0.11164392893527421,0.2288364276286682,2.6
0.7,0.124199119157272,0.11258716955725635,0.2732956336809277,2.4
0.8,0.129186787563021,0.11376918638648884,0.29781599994852703,2.4127549540388973
0.8,0.13461619522186427,0.11518271804552149,0.32342794571812106,2.5124792771286852
0.9,0.12646581991916725,0.11587684643861518,0.33,2.312479277128685
0.9,0.1136682779503172,0.11575525368487204,0.33,2.112479277128685
1.0,0.1186626786052889,0.11591009421903947,0.33,1.912479277128685
1.0,0.102765333075668,0.1152884561822255,0.33,1.712479277128685
1.1,0.10764483907738681,0.11493600164514227,0.33,1.512479277128685
1.1,0.08920871726061295,0.11389272648036737,0.33,1.312479277128685
1.2,0.09417837166611556,0.11310705488368089,0.33,1.112479277128685
1.2,0.10004737759763761,0.11259314896393273,0.33,0.9124792771286852
1.3,0.04962938348943473,0.11076394509988992,0.2917017800892182,0.7124792771286852
1.3,0.05451216164674727,0.10913785638774032,0.3232994273157809,0.5124792771286852
1.4,0.06113168222793141,0.10774196656341475,0.33,0.31247927712868523
1.4,0.03693257112986567,0.10603048104570924,0.28430542074394094,0.11247927712868522
1.5,0.04608904248851923,0.1045372663034039,0.3166570499821728,-0.0875207228713148
1.5,0.028875904432246125,0.1029153340042605,0.2666570499821728,-0.2875207228713148
1.6,0.040359418886634774,0.10150097121561748,0.2762685563722213,-0.4875207228713148
1.6,0.033306880488687934,0.1000757853730439,0.22626855637222132,-0.6875207228713148
1.7,0.044421241834419166,0.09885073793858942,0.24985309861635718,-0.8875207228713149
1.7,0.045676176232514194,0.09770073905108292,0.22108649348423837,-1.0875207228713148
1.8,0.05553605568952407,0.09675137850031536,0.24722867876546772,-1.2875207228713148
1.8,0.05901753037700667,0.09590390044664733,0.23796367690870557,-1.4875207228713148
1.9,0.06816170754220534,0.09526039855656605,0.26523863564261674,-1.6875207228713147
1.9,0.06966826742544201,0.09467559267153282,0.2655554117200174,-1.8875207228713147
2.0,0.07811379657306278,0.09428727834191247,0.2944668992006405,-2.087520722871315
2.0,0.07658523492487339,0.09388541442050302,0.2937096852797714,-2.286776371975517
2.1,0.08414365482204982,0.09365986675761163,0.32418112460669907,-2.351041277183343
2.1,0.07897367598440713,0.09333705406465709,0.32110068410370063,-2.1510412771833427
2.2,0.08557368487642666,0.09316385831389021,0.33,-1.9510412771833427
2.2,0.07575127247290764,0.09280440680738183,0.33,-1.7510412771833428
2.3,0.081329313753237,0.09256486084925093,0.33,-1.5510412771833428
2.3,0.0683869089776022,0.09210676404389828,0.3288746216553935,-1.3510412771833429
2.4,0.07316295797490013,0.0917444407987106,0.33,-1.151041277183343
2.4,0.05719822767190674,0.09115835933393243,0.3082639322414035,-0.951041277183343
2.5,0.06140445189213039,0.09064881074469865,0.33,-0.751041277183343
2.5,0.043982903308577036,0.08995305813205386,0.28,-0.5510412771833431
2.6,0.048045468421149144,0.08932052883079322,0.3051033058005783,-0.35104127718334305
2.6,0.03016659106818197,0.08855637313836569,0.25510330580057833,-0.15104127718334304
2.7,0.03479756800426058,0.08784708995909675,0.2715622481102393,0.048958722816656974
2.7,0.017771946612691204,0.08706348646175677,0.22156224811023933,0.24895872281665699
2.8,0.024122251046137227,0.08632966617869434,0.2368300562134565,0.448958722816657
2.8,0.010399034803264179,0.08556667819431225,0.19477288531011125,0.648958722816657
2.9,0.019692642888468618,0.08485287158738469,0.21822448841799952,0.8489587228166571
2.9,0.028779007759879807,0.08420303774879805,0.2349688384840144,1.048958722816657
