Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,0.10051524676572329,0.10051524676572329,0.00532186940975417,0.2
0.2,0.1013968892472058,0.10095703041736213,0.00932524868298364,0.4
0.3,0.1026259381227378,0.10151638153020161,0.014015105534850757,0.6000000000000001
0.4,0.10433308792148298,0.10222783426272448,0.019162735567637396,0.8
0.5,0.10624986073141625,0.10304479928422745,0.02937645350413822,1.0
0.6,0.10841219950823841,0.1039586121972327,0.04281202748305545,1.2
0.7,0.11063379082115601,0.10493820900981071,0.05682650160676431,1.4
0.8,0.11272908845117095,0.10594340550167512,0.07575708340917833,1.5999999999999999
0.9,0.11214037029848732,0.10664974032630824,0.10713702530075722,1.7125943299196604
1.0,0.11575726728633716,0.1075951899178682,0.11852877293677924,1.7701388543497363
1.1,0.11709857277803265,0.10849353758771806,0.14267206296784876,1.5701388543497363
1.2,0.12101587417996484,0.10959172964721325,0.164320994851624,1.3701388543497364
1.3,0.12534816794997092,0.11088328225704051,0.1819143862855449,1.3271581524028848
1.4,0.12956457099473617,0.1123207485444757,0.19634733807128169,1.3834148117632983
1.5,0.13158641479782143,0.1137067257786812,0.2103357676639502,1.381514802832868
1.6,0.13124253954376408,0.11488116047015703,0.22369268154738253,1.313592328515194
1.7,0.11943843014019916,0.11515422780669991,0.2286161727543961,1.113592328515194
1.8,0.12533396970028624,0.11574325971512865,0.2486110163388019,1.0163507456017076
1.9,0.12097115595907569,0.11602428503159927,0.2566483626390291,0.9066730440610593
2.0,0.11727058267533381,0.11608691769226073,0.2658526222422959,0.7684399080755138
2.1,0.10924143042925683,0.11577012101328105,0.26841815197574304,0.5684399080755138
2.2,0.09880096537611459,0.1150531043529024,0.26611968512749035,0.3684399080755138
2.3,0.08910466829700585,0.11404774209678044,0.2596075748371507,0.1684399080755138
2.4,0.07214994957080427,0.11261365133400897,0.21531497094083665,-0.03156009192448622
2.5,0.07305148962182424,0.11130149097629075,0.24017694912106144,-0.10825690727165027
2.6,0.06842001556137885,0.10996185455176519,0.23375782517357796,-0.12311391926374399
2.7,0.06542050073753429,0.1086383207379903,0.21901498677972536,-0.014207454421244325
2.8,0.06493706536074176,0.1073842417014825,0.2021347319469404,0.04731475040638854
2.9,0.06535160262802249,0.1062121075974568,0.19044622215892446,0.037008887715040656
3.0,0.06610527452895258,0.10512203218625908,0.18020940466138227,-0.015070562378823663
3.1,0.06716274771367835,0.104113784561848,0.17420657522648908,-0.06356694245909375
3.2,0.06783458403254113,0.10317333942817813,0.16741655298490643,-0.08375885466621227
3.3,0.06796322430167212,0.10228460218516633,0.15898123574309242,-0.10796769748806095
3.4,0.06721961374903,0.10142645717760726,0.15419381756158063,-0.12651835928300234
3.5,0.06638918129269615,0.10059488977693058,0.1506610562560119,-0.18079714293815385
3.6,0.06600692119123402,0.09979611554012041,0.145465308374213,-0.19715675050991666
3.7,0.06689278311915663,0.09905065218030523,0.13666292882324818,-0.15070841798698378
3.8,0.06332848414024536,0.09827708809724811,0.14230837218655668,-0.17914474738944514
3.9,0.06247186396961165,0.09752335729337236,0.13994913814810495,-0.17501381144160638
4.0,0.0705523303144768,0.09694057906855401,0.11277109198003621,-0.12918852831682312
4.1,0.059882879403066566,0.0962067126672087,0.13684908138102098,-0.1578340161924176
4.2,0.05742719447906014,0.09546663300376845,0.13886513851208593,-0.13710812739058406
4.3,0.05596857669244765,0.09473529318201974,0.13900062721081702,-0.1371530293693988
4.4,0.05708248113762749,0.09404710714547243,0.13205594607719787,-0.10322542065303714
4.5,0.05848227031625009,0.09340401417597399,0.12482650293581396,-0.06952690180871848
4.6,0.06737642054356537,0.09291575496273997,0.09951297801740155,-0.007122018707763245
4.7,0.056678076113838335,0.09229300361275164,0.12230378018301134,-0.03072746766801774
4.8,0.05383859389309368,0.09165657419114898,0.126732088880879,-0.07440451171592699
4.9,0.05174565052341598,0.09101717003143835,0.12839475591438007,-0.07077195074600322
5.0,0.06151365245217429,0.09052138600618785,0.10231927217443483,-0.10240763182069523
5.1,0.05108324754637541,0.08991450889529075,0.1240278496995093,-0.12927409507280052
5.2,0.048747926786042554,0.0893019860199826,0.12615807936318651,-0.1081755799631978
5.3,0.046054668277760016,0.08868142657639061,0.12937759443249822,-0.12234796799197095
5.4,0.04618852542516421,0.08808101669622649,0.12554192937204756,-0.09922386258067582
5.5,0.046669585504177914,0.0875031830415476,0.12126986146415014,-0.11559539416870462
5.6,0.04680188465246127,0.08694361922483816,0.11773064248939595,-0.1011682483147569
5.7,0.044669657157799705,0.08638044999027326,0.11957420280476726,-0.11845116062324675
5.8,0.04340469961582901,0.08582200404671769,0.11923942111480754,-0.0668932111939277
5.9,0.043438573220697954,0.08527930776124089,0.11617532064778305,-0.07101791812915942
6.0,0.0446671344995706,0.08476204068905223,0.11035979893499188,-0.04701052550734901
6.1,0.046228320961454704,0.08427251561425714,0.10401058900513033,-0.047470195163851925
6.2,0.04740940764508265,0.0838067017585923,0.09856737061511216,-0.058562176275308006
6.3,0.04811784583115644,0.0833596386278038,0.09415442325374697,-0.07178291394590891
6.4,0.04841704164400059,0.08292696891575681,0.09059167913464153,-0.08160633399264723
