Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,0.09142505389886146,0.09142505389886146,0.004229593591208472,0.09405373677462103
0.2,0.09183920355191101,0.09163236270406615,0.006023902240872705,0.09710888939778142
0.3,0.09239533987006117,0.09188739235093352,0.00789388032245884,0.1000870600782257
0.4,0.09311683551336829,0.09219629015745004,0.009732262953206474,0.10354740529044215
0.5,0.0939236559763347,0.09254434269813336,0.01175504579869649,0.10636430607735742
0.6,0.0948626030732636,0.0929347354231123,0.013824202796503204,0.10932273390152597
0.7,0.09592350392769274,0.0933675600552916,0.015947919945044714,0.11245280611984636
0.8,0.09710188030737908,0.09384247709191848,0.018124266728277803,0.11578204402323303
0.9,0.09839582246639747,0.09435925552719408,0.020355195270816487,0.11932993446384486
1.0,0.09980292410834678,0.09491767253435643,0.02263980325621028,0.12312635316933207
1.1,0.10132138673637392,0.09551757049387445,0.024981394977827847,0.1271930071434873
1.2,0.1029486536674139,0.09615876381255645,0.027382356847782518,0.1315588398510278
1.3,0.10468225532108895,0.0968410548963204,0.02984508358538433,0.1362576067600789
1.4,0.10652043722396326,0.09756429104551746,0.032372214332611005,0.14132842472117485
1.5,0.10846060609625986,0.09832828534922192,0.03496687925820256,0.14681545763258347
1.6,0.11051162602342206,0.09913362036353726,0.03765989565473608,0.15268298734269256
1.7,0.11235548335874775,0.09995980063266866,0.04049780626668211,0.1568139907504383
1.8,0.11485461165388121,0.10084502175810073,0.04329821689820527,0.16593191473383215
1.9,0.11716914735163392,0.1017694868271484,0.04618860136122408,0.1734150358033655
2.0,0.11922878558293058,0.1027129601958151,0.049241209533988695,0.1785365239916869
2.1,0.12200540961733512,0.10371305740901436,0.052405368004007656,0.19018155224522804
2.2,0.124271548547033,0.10473511645139354,0.055522932070316576,0.19584691503916626
2.3,0.1271951754542076,0.10581082262734587,0.058996823697042386,0.20969745603482948
2.4,0.1299008270964917,0.10692299003197982,0.06258419886784794,0.22066267720625282
2.5,0.1324672827179408,0.10806076070947629,0.06345445487571069,0.23417143984124583
2.6,0.13501538072684915,0.10922055194749176,0.06461779674831424,0.24864435072040397
2.7,0.13751642454852317,0.11039795358093828,0.0657520519693522,0.2655741749878181
2.8,0.13970583490584812,0.11157730191728277,0.06649099104083823,0.2772392715276649
2.9,0.14233696751836866,0.11277772658706522,0.06861744583786211,0.3087273466699234
3.0,0.1446380228558072,0.11398330440111179,0.07033054669039128,0.3376697975904697
3.1,0.14685844733827824,0.11519033533895179,0.07201147175944857,0.32728344675418375
3.2,0.1489504613821826,0.11639365505237902,0.07383181674512246,0.3154206253527014
3.3,0.15054943204072813,0.11757455216498015,0.0746220926138854,0.29154043638173643
3.4,0.15276662598735485,0.11875855727307753,0.0769426840993835,0.2922188704395938
3.5,0.1545079508292847,0.11992794674175718,0.07803999453539123,0.28157938662280607
3.6,0.155762096065559,0.121066644285747,0.07729934322291244,0.2602401230932537
3.7,0.15769398316839287,0.12220100380415896,0.07970728255469248,0.2607623312209151
3.8,0.1591586638773255,0.12331555985877368,0.08022311667309451,0.2511788144707147
3.9,0.16054658948192185,0.12440946094362212,0.0805958942965051,0.24168868894362205
4.0,0.16185867977233653,0.12548197850056667,0.08081319423031694,0.23244427240816576
4.1,0.16310504299172138,0.12653278107851484,0.08088212188824005,0.2235267678264203
4.2,0.16409258516902323,0.12755565626455836,0.07817844295678641,0.20622234379563043
4.3,0.16526998748079527,0.12855845448624503,0.07792775198755834,0.19852982587526014
4.4,0.16650411147410513,0.1295443497761862,0.08045522017267294,0.1987268048886007
4.5,0.16749338688125223,0.1305076014169364,0.07717716100639739,0.18381357118041447
4.6,0.16853289443026023,0.1314512529706213,0.0767046516637334,0.17688816609801955
4.7,0.1694843388346036,0.13237429274577153,0.07925623372151608,0.1769656328789868
4.8,0.1703956293165408,0.13327708287526338,0.07876612203466508,0.17029213521133493
4.9,0.1714358260600378,0.13416436171797566,0.07485674452215949,0.15718832588362922
5.0,0.17211299701206556,0.13502789382530367,0.07742187531372957,0.1571552485336367
5.1,0.17317852913078385,0.1358789403885431,0.07369776766054703,0.14445832460765123
5.2,0.17395047560293714,0.13671110587794416,0.07329692444448965,0.1389005240819824
5.3,0.1747105094980356,0.13752529363160437,0.07255299289254656,0.1335248138963481
5.4,0.17543784903188045,0.13832184540393197,0.07178621484230989,0.12832889239646011
5.5,0.17613315065237461,0.1391010923569939,0.0710029889169867,0.12330830352838931
