Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.3,0.19280991540804185,0.19280991540804185,0.24093367547924238,3.85
0.4,0.22399586121989667,0.20840288831396925,0.23782991826775207,3.85
0.5,0.24671583086175397,0.2211738691632308,0.2976859062890251,3.85
0.6,0.2600880549510387,0.2309024156101828,0.33,3.85
0.7,0.26368897736923996,0.23745972796199424,0.33,1.8952984371793904
0.8,0.2634161987350069,0.241785806424163,0.33,0.04179351236001509
0.9,0.260859090955858,0.24451056135726226,0.33,-0.6187913816796625
1.0,0.2577111539286493,0.24616063542868566,0.33,-0.4596978778533129
1.1,0.2545637495853184,0.24709431477942262,0.33,-0.1913216511251193
1.2,0.25071671320673733,0.2474565546221541,0.33,-0.06917023638692893
1.3,0.24593083877428995,0.24731785318143917,0.33,-0.061515346509817
1.4,0.24063218163192027,0.24676071388564594,0.33,-0.0950715803589916
1.5,0.23473345147252944,0.24583553985386775,0.33,-0.11675023469088286
1.6,0.22820227247716052,0.2445760207555315,0.33,-0.12125162380012838
1.7,0.22100312888183726,0.24300449463061857,0.33,-0.12065777760165657
1.8,0.21309607575506412,0.24113521845089642,0.33,-0.12248460806472775
1.9,0.20444090395628442,0.23897672936297804,0.33,-0.12776898741436415
2.0,0.1950008671669571,0.23653362590764354,0.33,-0.1353604235525048
2.1,0.18474306036487861,0.23380780666855064,0.33,-0.1444699570004416
2.2,0.17363847989600467,0.23079934032992339,0.33,-0.1548330627635441
2.3,0.16184110342680594,0.22751561476310825,0.33,-0.17151497544667627
2.4,0.14908330414899404,0.22395050973519395,0.33,-0.19856010069066957
2.5,0.13528628123832226,0.22009554327880823,0.33,-0.2102655602394905
2.6,0.12057242314117715,0.21594874660640695,0.32009362113568435,-0.2248997214680944
2.7,0.10606663423133213,0.21155346211140397,0.30299889919537554,-0.2635142984953103
2.8,0.09237298710875114,0.20696959768822504,0.28202548345365347,-0.3260619703074517
2.9,0.0798629518714912,0.2022619441394571,0.2594090926180412,-0.40516800390318
3.0,0.06845249736262542,0.19748303532599884,0.23659599175402285,-0.47117745428805186
3.1,0.05980373127231316,0.19273547311725106,0.21518129301767616,-0.5784297922532377
3.2,0.051249738042601224,0.18801928194809608,0.19500400827012482,-0.6761366779708619
3.3,0.04427666800339708,0.18338242343375097,0.17670951737801502,-0.7912221364143845
3.4,0.03832193274540451,0.17884928309974013,0.16051831943230271,-0.9170192991738886
3.5,0.03310508290893531,0.17443279218486726,0.14647989955361745,-1.070652511502366
3.6,0.028607040628349577,0.1701437994920285,0.1346856515501805,-1.2441828349706958
