Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.1,0.12947721919680508,0.12947721919680508,0.22774316107602754,3.85
0.2,0.15768256651474047,0.14357989285577277,0.33,3.85
0.3,0.17548684989866994,0.15421554520340516,0.33,3.85
0.4,0.1840862889168694,0.16168323113177122,0.33,3.85
0.5,0.18508254899805165,0.1663630947050273,0.33,1.4849608378206995
0.6,0.1815311992618841,0.1688911121311701,0.33,-0.6255517156668524
0.7,0.1778484698236387,0.1701707346586656,0.33,-0.835200219476577
0.8,0.17515664452073545,0.17079397339142435,0.33,-0.33962109290582276
0.9,0.17228908253708866,0.1709600966298315,0.33,-0.09440985578307126
1.0,0.16857276170181643,0.17072136313702999,0.33,-0.10783011072241466
1.1,0.16443634033389298,0.17014999742765388,0.33,-0.1642875841296526
1.2,0.15993843472497962,0.1692990338690977,0.33,-0.17071224166715415
1.3,0.15503868809911248,0.16820208419448346,0.33,-0.15461352843131282
1.4,0.14967438682462034,0.16687867723949323,0.33,-0.1465544608943069
1.5,0.14382963054399037,0.1653420741264597,0.33,-0.15037836174063873
1.6,0.13734464236328237,0.16359223464126113,0.33,-0.15451333436731496
1.7,0.1302227300708917,0.16162932260770999,0.33,-0.15912309404687008
1.8,0.12242030010539882,0.1594510435798038,0.33,-0.16562031738292465
1.9,0.11389853418999024,0.1570535430856031,0.33,-0.17461080299059772
2.0,0.10485508995222456,0.15444362042893417,0.33,-0.18857107761440262
2.1,0.09486503358201151,0.15160654486479497,0.33,-0.22797264449193852
2.2,0.08397467960967672,0.1485323691713805,0.33,-0.2650911513227138
2.3,0.07225922961192129,0.1452161457122736,0.33,-0.29836121026004364
2.4,0.05973831033392556,0.14165456923817574,0.33,-0.33289120779580084
2.5,0.04647746500225917,0.1378474850687391,0.33,-0.3724018673210686
2.6,0.032695247487640536,0.13380316823869684,0.2746204594123039,-0.4193177892116538
2.7,0.023461524354978135,0.129716440687448,0.23112385179062694,-0.4616399032583255
2.8,0.01757346388670212,0.12571133437313564,0.19989293125814206,-0.5211404008279477
2.9,0.013910279045719131,0.12185612556874197,0.17738639693484465,-0.5907255895024375
3.0,0.011872562348508522,0.11819000679473418,0.16230611976355505,-0.6545188739375984
3.1,0.010244652827826018,0.11470789860225328,0.14973905724090733,-0.7388339292228624
3.2,0.008810519380328381,0.11139860550156813,0.1393645929704381,-0.831115192229783
3.3,0.007566967470862976,0.10825219222791041,0.12992316887986896,-0.9257561047013949
3.4,0.006501547874536536,0.10525952621751705,0.12183233666882042,-1.0299261117633582
3.5,0.005665158108241205,0.10241397284296631,0.11701878122290316,-1.139615307280647
3.6,0.005021760927090124,0.09970863362308086,0.11444898330206038,-1.2730980030361545
3.7,0.00428599825938779,0.09712964347811619,0.11148460684051698,-1.3678274630600393
3.8,0.003676287633156757,0.09467034464009094,0.10937821755659516,-1.428525384326714
3.9,0.0025461495823135933,0.09230818579245563,0.10619430335192233,-1.4437358802513198
4.0,0.001526055537684888,0.09003863253608636,0.10511285672827066,-1.4100931379200317
4.1,0.0008052116737459385,0.08786220763700488,0.10654286983371085,-1.3369360911325234
4.2,0.0007716879494504448,0.08578862383492025,0.11005486224559574,-1.2365846179882474
4.3,0.0012749444314296033,0.08382318943018792,0.115040009775099,-1.12246548008577
4.4,0.0019779005462611417,0.08196306922828049,0.12163152906274666,-1.0064653573516065
4.5,0.0031647018863475633,0.08021199439845976,0.1311423984062961,-0.9018475398225445
4.6,0.004099737828026001,0.07855738012518945,0.14030478178283703,-0.798218927574914
4.7,0.005000023242794678,0.07699232997875553,0.15034077743771945,-0.7013886413238234
4.8,0.004756040998956455,0.07548740729167638,0.15764050002388758,-0.6188990999693269
4.9,0.004918171082774431,0.07404721879761716,0.1665899332833069,-0.5571567168693041
5.0,0.005216702555497766,0.07267060847277478,0.17645136889837226,-0.48507052636342707
5.1,0.00578780058251462,0.0713591808670834,0.18734915029706417,-0.4592681056690742
5.2,0.005775633742835279,0.0700979588070017,0.1964049624490337,-0.39345787982972247
5.3,0.00545579704288305,0.06887829537749005,0.20441021056702707,-0.3421091750867999
5.4,0.004564847566178787,0.0676873056032065,0.21016858135854327,-0.2965301229569119
5.5,0.004219203592182285,0.06653334011209697,0.2179736437155052,-0.24838982818937297
5.6,0.00343850715153804,0.0654066466663727,0.22378643969633533,-0.20480537898541168
5.7,0.00308414178167581,0.0643132693876938,0.23107189074816945,-0.15093211294840603
5.8,0.002695329063426498,0.06325089110624092,0.2378420858323431,-0.12962017807665643
5.9,0.002288086899501934,0.062217623238330085,0.24372425732948622,-0.13839766448775262
6.0,0.0019414038065817942,0.06121301958113428,0.24924186904893575,-0.13486317994399138
6.1,0.001710541213040187,0.060237569116083564,0.25467138346591606,-0.12292685692268684
