Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.1,0.12924892136639748,0.12924892136639748,0.2867612862768716,3.85
0.2,0.15897732761851702,0.14411312449245725,0.33,3.85
0.3,0.17943541720707748,0.15588722206399733,0.33,3.85
0.4,0.19098012442418513,0.16466044765404428,0.33,3.85
0.5,0.194434021174177,0.1706151623580708,0.33,2.6153352401892245
0.6,0.19209540706634096,0.1741952031427825,0.33,0.12050096958277662
0.7,0.18833128997493245,0.17621464411880394,0.33,-1.0075233423718264
0.8,0.18412566677929332,0.17720352195136513,0.33,-0.8062657365931261
0.9,0.1811773931415759,0.17764506319472187,0.33,-0.30891867077561674
1.0,0.1781530656975896,0.17769586344500865,0.33,-0.020295400115487874
1.1,0.17443206920415383,0.17739915487765823,0.33,-0.06259909950930014
1.2,0.16996853691525524,0.17677993671412462,0.33,-0.16893382626015446
1.3,0.1650669602365684,0.17587893852354336,0.33,-0.19840426551992907
1.4,0.16004376523658204,0.17474785471733184,0.33,-0.19288489643761733
1.5,0.15439368742769866,0.1733909102313563,0.33,-0.1984332754909342
1.6,0.14793397968963687,0.17179985207249884,0.33,-0.1617456680254739
1.7,0.14085142374562115,0.16997935628856486,0.33,-0.1441647001085023
1.8,0.13308598721799336,0.16792972467353312,0.33,-0.15115898313037715
1.9,0.12458934748000743,0.16564865218966335,0.33,-0.16647670986080954
2.0,0.11532482956921786,0.16313246105864107,0.33,-0.18076139968052873
2.1,0.10558244659390131,0.16039198417936776,0.33,-0.19618895614821355
2.2,0.0954775403185429,0.15744132764023935,0.33,-0.25045107367249997
2.3,0.08386421847338106,0.15424232289385423,0.33,-0.30837844383916124
2.4,0.07122226554987572,0.1507831538378551,0.33,-0.34464655344251455
2.5,0.057701057872472504,0.14705986999923978,0.33,-0.3849556885808678
2.6,0.043296224823855166,0.1430689605694173,0.33,-0.43763956554306876
2.7,0.028020781184583426,0.13880791688849753,0.33,-0.5060022704516031
2.8,0.011993084536343094,0.13427881573306347,0.26252872394478816,-0.5935583061475338
2.9,0.0022530199378723212,0.12972620208495342,0.14467184082352075,-0.6815075123749551
3.0,0.001588226964300602,0.12545493624759832,0.12096317402049309,-0.7498468279969029
3.1,0.0016886335640710862,0.12146247487071035,0.1355791826518398,-0.8198159863635466
3.2,0.003549862854222523,0.1177777057451951,0.1385156387582808,-0.8879945903125847
3.3,0.004723267869719732,0.1143518136883625,0.13305142014194546,-0.9854910640462695
3.4,0.0053411008068848355,0.11114561625067199,0.12412461833980344,-1.0765561633671203
3.5,0.006900975449092418,0.10816719794205543,0.1262014678432612,-1.1815181616177761
3.6,0.008049046005785775,0.10538613816604793,0.12345533704605102,-1.2782862702152564
3.7,0.008455159336039412,0.1027663819814531,0.12263347085653832,-1.3426514527273024
3.8,0.00830413521069133,0.10028053338222254,0.12256583277526865,-1.3583696311121187
3.9,0.007281147321607248,0.09789593373964266,0.11967711222074182,-1.322937494939373
4.0,0.006246584218527685,0.09560470000161478,0.1208130641641012,-1.2484835829613248
4.1,0.005132153528893685,0.09339805252667037,0.12370261937180384,-1.1391402276812592
4.2,0.00424093271990946,0.09127526395984273,0.12449521642761704,-1.0423875065486492
