Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.1,0.03218000635983535,0.03218000635983535,0.04348301214391504,3.85
0.2,0.0635335778034046,0.04785679208161998,0.11742865474490316,3.628070555715805
0.3,0.0886132436019176,0.061442275921719185,0.21193363892477257,2.5924587861540695
0.4,0.10442116317761817,0.07218699773569393,0.2815421870806262,1.815642548030577
0.5,0.11289738378113186,0.0803290749447815,0.3243324287260489,1.1689392341726847
0.6,0.115235624944573,0.08614683327808009,0.33,0.6480559825222052
0.7,0.11479236445046902,0.0902390520169928,0.33,0.2548599413921506
0.8,0.1129219066351749,0.09307440884426556,0.33,-0.05360599737671201
0.9,0.11074015838585126,0.09503726990444175,0.33,-0.26291235017772063
1.0,0.10832655275694239,0.0963661981896918,0.32347045987412876,-0.38564551269655745
1.1,0.10613746002990851,0.0972544947206206,0.31649840826054876,-0.43879894244210593
1.2,0.10417538240359707,0.09783123536086864,0.3106791679689122,-0.4350878280292881
1.3,0.10223702378716447,0.0981701421628914,0.3052433830573559,-0.3914718293911301
1.4,0.10049891566035804,0.09833648312699615,0.3005828810165659,-0.3115191042677177
1.5,0.10238923704947923,0.09860666672182836,0.3066428870667458,-0.23385999765610865
1.5,0.09950649864815317,0.09866290621722365,0.29803176524534675,-0.22868508128320642
1.6,0.09750106744116553,0.09859456275980848,0.29228238410855084,-0.15543701569936053
1.7,0.09524242272657354,0.09840833275796208,0.2856278374975798,-0.10552903071720676
1.8,0.09224425244590215,0.09808390747837999,0.27668521842775445,-0.07414391785965657
1.9,0.08933158692156318,0.09764629145053914,0.26796438514961946,-0.06022523173394978
2.0,0.08692799272698966,0.09713589627322726,0.26072970855280964,-0.08160569932126371
2.1,0.08428711457515398,0.09655186074149666,0.2527876161756075,-0.09659601763092462
2.2,0.08139932147259994,0.09589305468632724,0.24408906132088476,-0.11946487299666274
2.3,0.07914123867494022,0.09519506235251944,0.2372519839007561,-0.15214752499073114
2.4,0.07611008902891565,0.09443166341957529,0.22808852239831345,-0.1840814565407296
2.4,0.07539898252918747,0.09369963723148346,0.22595715110749667,-0.1842007506308483
2.5,0.07319527787274505,0.09294021651449313,0.21925193451904482,-0.22061523530240246
2.5,0.07251837994162914,0.09221086520831943,0.2172240217226838,-0.22071755443105667
2.6,0.07029962057871295,0.09145530504867783,0.2104552974715753,-0.2594730718745333
2.6,0.06964929882570302,0.09072843817457867,0.20850816875020578,-0.25955183649156854
2.7,0.06737995563453121,0.0899752613184481,0.20157048359216295,-0.30029863885399033
2.8,0.06429103567035503,0.08917262926694519,0.1921595527109186,-0.34418080718396027
2.9,0.06143919066014338,0.08833222203643604,0.18346014683069978,-0.38597415849559624
3.0,0.05838825819383947,0.08745151721753615,0.17412283990459923,-0.4365031274679412
3.1,0.05542755001893796,0.08653654672614762,0.1650225544763928,-0.4927514429554059
3.2,0.05279701810680733,0.08559933759783261,0.15708537241411508,-0.5139574290523033
3.3,0.05082423448498021,0.0846594699461339,0.15098663916716823,-0.5589218714973656
3.4,0.04887158386859418,0.08371768347040916,0.1449788858049694,-0.5980873627804604
3.5,0.04702701130529754,0.08277689700463707,0.1388121299547004,-0.7183440346922283
3.6,0.04560472240953909,0.08184759263975963,0.13405229407146363,-0.8050903673522241
3.7,0.04380892522764138,0.0809198202638543,0.12823899932486704,-0.8827927099901245
3.8,0.04271566053975566,0.08001019741328053,0.1242965910132993,-0.9830297440954382
3.9,0.04301862264692468,0.0791499282326676,0.12435139853923016,-1.0833520728262422
4.0,0.043264287396124756,0.07833434548638253,0.1244156975862052,-1.1554126779438503
4.1,0.044199297003378386,0.07757578885342689,0.126541577469936,-1.2136064675630487
4.2,0.04266093738602201,0.07681677034326591,0.12239654284559634,-1.1861854426851235
4.3,0.04182605295577888,0.07607228699459596,0.12036481957292695,-1.14585375285552
4.4,0.04172655816332314,0.07535675097727779,0.1205736538772328,-1.0884582102048617
4.5,0.04222285230638071,0.07468054896358602,0.12262674984329919,-1.013187892372315
4.6,0.04373786260463673,0.07406169523640703,0.1272241549703277,-0.9888893738143519
4.7,0.04514871906798668,0.07349477413506544,0.13125514974657762,-0.9976474716062791
4.8,0.04786128364507551,0.07300182239487334,0.13961119159736018,-0.9431251043305577
4.9,0.05107031756282485,0.07258802041691015,0.1495448040643701,-0.87680890389827
5.0,0.05345676219088641,0.07223373785716898,0.1571118890362363,-0.8077057172760354
5.1,0.05627484536429263,0.07194357617548032,0.1661463608364874,-0.7134318691031063
5.2,0.05878341572266817,0.07170857331025152,0.1742981567409926,-0.6108115468562856
5.3,0.06057269352744144,0.07151320699827239,0.1801093051081283,-0.5326532291607124
5.4,0.06237638232902756,0.07135567553845783,0.1859162971331848,-0.45566181686558593
5.5,0.06483471286089228,0.07124515074731265,0.19363354016636006,-0.3786008867767823
5.6,0.06745206125404334,0.07118193258909149,0.20166389633542797,-0.33096636766192145
5.7,0.06993163534183418,0.07116143591290694,0.2093799588352838,-0.2516202220259105
5.8,0.07167452510413512,0.07116971154502352,0.21470198741831473,-0.218794266834732
5.9,0.0737166355928685,0.07121013891086232,0.22094018669155482,-0.17421516243274485
6.0,0.07573370122003625,0.07128081957194317,0.2270333870971573,-0.15370375133148606
6.1,0.07823103708177108,0.0713877459951713,0.23455528380179605,-0.13709257207560108
6.2,0.08016664167307884,0.07152075956604867,0.24034377515159802,-0.1441490642384302
6.3,0.08222088693009191,0.07168046295954185,0.2465033068082911,-0.14378981568503413
6.4,0.08434681667723,0.0718667328671549,0.2529077792390202,-0.1295348577707642
6.5,0.0859072656911265,0.07207021885011101,0.2575615197587168,-0.14107756408606953
6.6,0.08793363255557175,0.07229683904590332,0.2636194391422912,-0.1483714837697958
6.7,0.08929442269965393,0.07253624163257585,0.2676664091888695,-0.16096080388489667
6.8,0.09130644709925953,0.07279693893072424,0.27370519460720577,-0.15817856136851205
6.9,0.09252856938674327,0.07306723523834095,0.27734882272421296,-0.16526333326951193
7.0,0.09346590572472291,0.07334289294761638,0.280164999754837,-0.16297922193570272
7.1,0.09490331803219043,0.07363036528207736,0.28446194675169145,-0.16696962266360504
7.2,0.09617242205886599,0.07392697129229826,0.2882937895978761,-0.1574465426721554
7.3,0.09662061730310262,0.07422169396776326,0.2896703826614798,-0.14539614188972738
7.4,0.09695464876142407,0.07451314210614353,0.2907004815900785,-0.13411037217177046
7.5,0.09722594298127761,0.07480064591468953,0.29153711340510047,-0.12425439814857153
7.6,0.09740881684157211,0.07508324805127556,0.29210240696474865,-0.11655145568075032
7.7,0.09789920212797085,0.07536492649666687,0.29353880343474703,-0.13154478576975936
7.8,0.09839154228007178,0.07564573888426937,0.2949765406143302,-0.14655036576860248
7.9,0.09818552997685483,0.07591730263237281,0.2943901591117858,-0.13447078596433926
8.0,0.09758346267529551,0.07617523310907427,0.2926030757700458,-0.12690066636868824
8.1,0.09690038619161286,0.07641905843945708,0.2905673576119474,-0.12136623690828419
8.2,0.09613074085469496,0.07664826404893658,0.28826635238648907,-0.11818447674149903
8.3,0.09558199213710561,0.07686589310742128,0.2866326205812961,-0.11247669887108726
8.4,0.09450342334642181,0.07706631958740993,0.2834214744338478,-0.10011465691824739
8.5,0.09362139332228672,0.07725233165184674,0.280781733459149,-0.0969222680183277
8.6,0.09266512794884577,0.07742358494403562,0.2778839832706949,-0.11324379599096002
8.7,0.09228967966841531,0.0775869486223255,0.27663007320501976,-0.16620225411737977
8.8,0.09100555787342553,0.07773280307070703,0.272682051715973,-0.19806236223783458
8.9,0.08888799830597678,0.07785275140657015,0.2663579966960046,-0.19164336524210146
9.0,0.08665029017511564,0.0779463422445334,0.25972683897022636,-0.16607916138156398
9.1,0.08510559853961355,0.07802170283711318,0.25509153455917943,-0.16803907953483144
9.2,0.08337226061942155,0.07807743781401223,0.2499154543569174,-0.16050340888877998
9.3,0.08162896560486414,0.07811405150257772,0.24468917150056776,-0.16075059083002952
9.4,0.07911868157611676,0.07812430282985873,0.2370443872170417,-0.20500345103361095
9.5,0.0768968610153325,0.0781119044276918,0.2303073082794563,-0.23060850320878679
9.6,0.07477404150032925,0.07807852579841817,0.2239015430423562,-0.24498070161144447
9.7,0.07169238415528771,0.07801529667323866,0.21455514661717703,-0.2787426420236754
9.8,0.06882095666101413,0.07792515608488351,0.20588642074703484,-0.2989755280233251
9.9,0.06664815912952297,0.07781567067754992,0.19935915486786826,-0.30614269688143736
10.0,0.064234836025816,0.07768508572897556,0.19206003086671714,-0.32723062798794356
10.1,0.0615201301417731,0.07753113377100221,0.18389157669410358,-0.3406352335634928
10.2,0.05880223483247918,0.07735444604516707,0.17561458761951715,-0.37920558243829205
10.3,0.05555456019313881,0.07715070879421354,0.16564859224269027,-0.44169969354176253
10.4,0.05339996583070402,0.07693079450751437,0.15898968077466646,-0.49198201741445763
10.5,0.05142847020742793,0.07669682822953193,0.15294686720760092,-0.5272824014534354
10.6,0.049374793184387804,0.07644844609275789,0.14662144001023883,-0.5702960591745061
10.7,0.047348028363648785,0.07618628016727041,0.14025148115308828,-0.6361556382642721
10.8,0.045228733541108804,0.07590987350096541,0.13339296100451936,-0.736453685625813
10.9,0.04364300362177192,0.0756243259799106,0.127967607018806,-0.8523694319931234
11.0,0.04252808091657169,0.0753340080407585,0.12379857254265705,-0.9768493915455068
11.1,0.0415610207689815,0.07504032989056914,0.12033880172836392,-1.0590057430844038
11.2,0.04123967240869808,0.07474894491227715,0.11873057130433967,-1.1397498887581907
11.3,0.0402162498873255,0.07445379367274765,0.11448321364261127,-1.2842987447383312
11.4,0.04111791588564605,0.07417128623387391,0.11627986613817491,-1.3612105584633634
11.5,0.04300848528873602,0.07390941395702401,0.12241107222265286,-1.286337642036842
11.6,0.04386218464425274,0.07365902037941759,0.12541060316682628,-1.230366703676574
11.7,0.044104619028265554,0.07341476912858162,0.12730886310953027,-1.103704189445068
11.8,0.04474650000869325,0.07317978331612353,0.1303579245823983,-0.9642528114391933
11.9,0.04576498726268171,0.07295689879536384,0.13433464484819055,-0.8321473648596472
12.0,0.04792455864378526,0.07275502508446402,0.14138615024545753,-0.7299820169674724
12.1,0.0502254205035089,0.07257478824781637,0.14850244319634562,-0.6802800150584858
12.2,0.05228898024749699,0.07241378977162335,0.15475298417968714,-0.6574250250206397
12.3,0.0550879302816046,0.07227736568115077,0.16328750792954294,-0.6192192247013324
12.4,0.05831474439206973,0.07216828270232982,0.17343989999081583,-0.5249390598333026
12.5,0.06164071942582259,0.07208667368468248,0.18371112566613243,-0.45803190264321
12.6,0.06462767318963068,0.07202929675779746,0.19301004288446907,-0.3797252817992458
12.7,0.06714043288785615,0.07199197718627118,0.20071545731722937,-0.3349675579754301
12.8,0.07022992943391076,0.0719786283396624,0.21021841122080157,-0.2676199474343921
12.9,0.07268382375837502,0.07198393056085572,0.21771815036096587,-0.22119846008570576
13.0,0.07479303038594566,0.07200489399238624,0.2240797164367744,-0.20665202216028966
13.1,0.0779445596542895,0.07204889151580775,0.2336444654069356,-0.16092624258983257
13.2,0.0800639674550995,0.0721078258977143,0.2400166869986006,-0.15279470647291052
13.3,0.08256360533781931,0.07218414545567128,0.24751640473317932,-0.15011801375454858
13.4,0.08451139158686279,0.07227347332618717,0.2533514353697302,-0.15187941325371845
13.5,0.08688033783222177,0.07237855868234569,0.26046933112645115,-0.1451912028779727
13.6,0.08896354519310151,0.07249702287170823,0.2667382480092735,-0.13517729745704088
13.7,0.09153026864465102,0.07263201043038157,0.2744958854587791,-0.10517789057815818
13.8,0.09365431265091097,0.07278005481221628,0.28088489605237654,-0.09428105695978495
13.9,0.09528889095506567,0.07293745926076768,0.2858056191991566,-0.0826716925005666
14.0,0.09705331221076287,0.07310493046180931,0.2911197192474453,-0.06648460512769105
14.1,0.0986477951994305,0.07328108814965498,0.2959106713330907,-0.05947620586142222
14.2,0.10023788907601268,0.07346572377243825,0.30068547693471026,-0.054771116735725656
14.3,0.10182596143177139,0.07365865055923644,0.30545460213758613,-0.04938550215293347
14.4,0.10350412685762668,0.07386030918287421,0.3104918238075898,-0.046027280269276716
14.5,0.10498207986734534,0.0740691801270653,0.31489690858315195,-0.07079824417502857
14.6,0.10591529867309402,0.07428148758403884,0.3177038883457756,-0.06504353163588661
14.7,0.10670794051251345,0.07449623230541946,0.3200925141251857,-0.05594266081751264
14.8,0.10736241110038847,0.07471245716591268,0.3220671567512948,-0.044661677438536884
14.9,0.10790947542018403,0.07492943114143079,0.32371764981904844,-0.03263799441903359
15.0,0.10833411033673128,0.07514634464269898,0.324997919791967,-0.02084066218838032
15.1,0.10862457553521103,0.07536233322910228,0.3258727058632119,-0.010011715755851469
15.2,0.1087725153940179,0.07557650106349276,0.32631754437537597,-0.0004209156987062812
15.3,0.10877163943479995,0.07578793506585778,0.32631429483471475,0.00781923498104753
15.4,0.1090574980330399,0.07599850192008045,0.3271671780157281,0.022802532182092605
15.5,0.10955387284020136,0.07620954198876045,0.32862722465198557,0.05786884251425484
15.6,0.1087607200043501,0.07641298685135789,0.326245032568565,0.06034342713045504
15.7,0.10785572967282209,0.07660828339062165,0.32353414899022487,0.057163215672574104
15.8,0.10688059029215274,0.0767951494826064,0.3206138274157766,0.052809029870640956
15.9,0.10604619967445855,0.07697460377826194,0.3181135939465693,0.05015147933464448
16.0,0.10480827191809436,0.07714432126691946,0.31440175933410675,0.04844123139327472
16.1,0.10346448541623617,0.07730383741327895,0.3103701591695217,0.04900858517661355
16.2,0.10199384894621737,0.07745257242251351,0.30595519451791037,0.05249765713238652
16.3,0.10066564338980574,0.07759157284746736,0.30196212996845273,0.06072517450260939
16.4,0.09928025594074083,0.07772067215159399,0.2977990515703204,0.06694846555801703
16.5,0.0977940253360701,0.07783944938937196,0.2932612213959473,0.11481661124526177
16.6,0.09569183623980054,0.0779444634296686,0.2869606614507306,0.11314926387646729
16.7,0.09337884716119746,0.07803472298365415,0.28001428519997323,0.11817932319768154
16.8,0.09184458222778415,0.07811501286298049,0.27537067136294924,0.13762683822293553
16.9,0.09029924320250962,0.0781854419400876,0.2706489261874224,0.17144851372299996
17.0,0.08825796317705026,0.07824332999317359,0.2644822158234813,0.1877698800309471
17.1,0.08509062350784986,0.07828245738468602,0.2550006339589173,0.18441068815458195
17.2,0.08197768665527519,0.07830345300554163,0.24565688671895416,0.1895823861026269
17.3,0.07953443170568253,0.07831040768746333,0.2383102674408063,0.1982602034367833
17.4,0.0768322220927415,0.07830210327400984,0.2302274510247945,0.19334581493009748
17.5,0.07357981869712017,0.07827572179592665,0.2204873056514254,0.19120807096333792
17.6,0.07106016079384417,0.07823563534591509,0.21289502727347723,0.20702302554988172
17.7,0.06782585459008951,0.07817812274505417,0.2031404297731444,0.2302915386287392
17.8,0.06465072778292218,0.0781037963991084,0.19347861081725384,0.2795820676407086
17.9,0.06377472963448648,0.07802549548782631,0.19056710524358994,0.35596336239043147
18.0,0.06076832332584537,0.07793170650868511,0.1814175111698088,0.394844572656977
18.1,0.058653020407451364,0.07782749739462438,0.1749225609053629,0.43437748686532807
18.2,0.055049839330092484,0.07770503686739572,0.16399271067750018,0.4737188626559874
18.3,0.05197159523699072,0.07756742488006735,0.15445409204527125,0.5479621406889628
18.4,0.05030712266338122,0.07742242327253179,0.14917872636432136,0.6084465604516538
18.5,0.04807556593900614,0.07726714889510573,0.142327161304296,0.6499108586553888
18.6,0.04503784342258069,0.07709752097156612,0.13255802410844097,0.7792035681493061
18.7,0.043182061102163403,0.07691995311884674,0.1263398607083226,0.8917972443848275
18.8,0.04242077405793172,0.07674026989457114,0.123407867358477,0.9869810744491173
18.9,0.04252858086394021,0.07656300725710673,0.12274744314954601,1.10510201704245
19.0,0.04310886542721099,0.07639056322705573,0.12305665403639181,1.2506426791480303
19.1,0.0434603323364913,0.07622169024812976,0.1235583699711148,1.299738304952755
19.2,0.04524266527404196,0.07606363399826196,0.12862579740188254,1.299717217505414
19.3,0.04437377486396779,0.07590277176915387,0.12696120965446572,1.2216159695773108
19.4,0.04376676642954492,0.07574046871188311,0.12590813883003552,1.1503265187278444
19.5,0.0437900346836028,0.07557991376701739,0.12677267882940685,1.0613504448033417
19.6,0.04440383729173483,0.07542403338464097,0.1294312067226428,0.9552124340809769
19.7,0.04545080183381519,0.07527491282966176,0.133305803975469,0.8471559960460997
19.8,0.04684394410861389,0.07513416545975557,0.13812556871606613,0.7412775998445992
19.9,0.049416032174295736,0.07500747514800454,0.14607586625475638,0.685590963690327
20.0,0.05224477125251998,0.07489589326616393,0.15462749780389734,0.6565894933794176
20.1,0.0552617425481182,0.07480011692119785,0.16403714159121544,0.5813876849313696
20.2,0.05756213489838801,0.07471643739681529,0.17120919285831301,0.5235731683134901
20.3,0.06003310902188699,0.07464550344331322,0.17890674260657827,0.46057828665132833
20.4,0.06252211885995673,0.07458721794050861,0.18663082641733186,0.39967509996543077
20.5,0.06493304632647884,0.07454102573182905,0.1940642845662549,0.3475511638435469
20.6,0.06735259278457893,0.0745067950987469,0.2014239959034712,0.3168990163069738
20.7,0.0691688579027133,0.07448149681819698,0.2070082115569868,0.2772799984205898
20.8,0.07156837159704756,0.07446775566149344,0.21440187077232145,0.21261849733999671
20.9,0.07384789429313603,0.07446484551422416,0.22135853671831204,0.16354335749076743
21.0,0.07681176557966242,0.0744758124304178,0.2303096363312635,0.13210506157164745
21.1,0.07901956841133255,0.07449694617916623,0.23693083218888214,0.1313881092262399
21.2,0.08057629913301716,0.07452509133173037,0.24155608579421914,0.15125962929803105
21.3,0.08246931894055752,0.07456170067554985,0.24723688301374874,0.14875958122707722
21.4,0.08405967855121481,0.07460526938140151,0.2519819585436199,0.15814915625696635
21.5,0.08580286701089514,0.07465639996418458,0.25719570710817763,0.16269530971896093
21.6,0.08810931157587343,0.07471754956241954,0.2642168991539129,0.1159443878982831
